discharge_cycle_id,rows,time_start,time_end,capacity_ah,voltage_start,voltage_end,soc_start,soc_end
1,197,0.0,3690.234,1.8564874208181572,4.191491807505295,3.277169976825196,1.0,0.0
2,196,0.0,3672.344,1.846327249719927,4.189773213846608,3.3002448871222545,1.0,0.0
3,195,0.0,3651.641,1.835349194223408,4.188186735991303,3.327451009868628,1.0,0.0
4,194,0.0,3631.563,1.8352625275821128,4.188461118855572,3.314181858907029,1.0,0.0
5,194,0.0,3629.172,1.8346455082120416,4.188298524761055,3.30549673128648,1.0,0.0
6,195,0.0,3652.281,1.8356616600675493,4.188815807948604,3.302329112973759,1.0,0.0
7,195,0.0,3650.828,1.8351461429226603,4.18839163793879,3.2937406695499014,1.0,0.0
8,191,0.0,3572.453,1.8257567905665535,4.188927891511958,3.3162307407741536,1.0,0.0
9,190,0.0,3550.594,1.8247738529891333,4.189029250882121,3.297410935416153,1.0,0.0
10,190,0.0,3551.25,1.824613268496936,4.189223427076418,3.2884044830952868,1.0,0.0
11,189,0.0,3530.25,1.8246195526864504,4.188916055911241,3.2662755750614747,1.0,0.0
12,187,0.0,3491.016,1.814201935767392,4.189876247266316,3.296199859463087,1.0,0.0
13,186,0.0,3470.281,1.8137521577549052,4.189286794768804,3.2717574155336004,1.0,0.0
14,186,0.0,3470.0,1.8134404914735824,4.188837765892728,3.264855084085025,1.0,0.0
15,185,0.0,3450.297,1.8025980036306504,4.189110301768517,3.309111201518355,1.0,0.0
16,184,0.0,3429.407,1.80210690024615,4.18921207304098,3.288149052868925,1.0,0.0
17,183,0.0,3409.484,1.802579500826209,4.188899969428112,3.260754100903525,1.0,0.0
18,182,0.0,3390.422,1.8030683142834096,4.188779799856791,3.2294668217844102,1.0,0.0
19,182,0.0,3390.281,1.802777624719604,4.189272591516219,3.224378894859077,1.0,0.0
20,192,0.0,3591.734,1.8470259949329195,4.187614060563439,3.2587403321633976,1.0,0.0
21,190,0.0,3552.297,1.847417311283644,4.187628781108399,3.2180462147957645,1.0,0.0
22,189,0.0,3531.578,1.8361774213478947,4.187447226312926,3.2573096268397737,1.0,0.0
23,187,0.0,3492.907,1.825780747577624,4.187344026387161,3.2802567474945943,1.0,0.0
24,188,0.0,3511.594,1.8251136435078368,4.187438187636325,3.279765451158692,1.0,0.0
25,184,0.0,3431.9370000000054,1.825581504220376,4.18774138117799,3.2050689156049863,1.0,0.0
26,184,0.0,3431.125,1.814031127508391,4.188261122540052,3.276866922356563,1.0,0.0
27,183,0.0,3412.406,1.8147691941158937,4.187338767288234,3.2311300277309924,1.0,0.0
28,183,0.0,3410.688,1.813969388710352,4.187560306288175,3.2220257725268318,1.0,0.0
29,183,0.0,3410.718,1.802765665167823,4.18805176248713,3.290082793730788,1.0,0.0
30,182,0.0,3392.719,1.804077040117352,4.187667484260542,3.2511761852414898,1.0,0.0
31,371,0.0,3470.672,1.8518025516704488,4.2010701773378685,3.249283482317545,1.0,0.0
32,365,0.0,3414.109,1.8307038456739428,4.1996223345495824,3.260087599199005,1.0,0.0
33,363,0.0,3395.219,1.8199041089501269,4.199853323702163,3.281146601420838,1.0,0.0
34,362,0.0,3386.0,1.809307963702852,4.199103467081427,3.309371520154756,1.0,0.0
35,360,0.0,3368.187,1.80460990458052,4.199998536865001,3.295594467656429,1.0,0.0
36,360,0.0,3368.266,1.7993770651972192,4.19967522099872,3.317198245350349,1.0,0.0
37,359,0.0,3358.719,1.7884432335370462,4.1991847248803165,3.3478185065039905,1.0,0.0
38,357,0.0,3339.5,1.7829230484252725,4.200012480335,3.337821923904857,1.0,0.0
39,356,0.0,3331.265,1.7730337158018288,4.1992373656547874,3.364372479379788,1.0,0.0
40,355,0.0,3321.188,1.773037755078937,4.199395781118708,3.336014493650917,1.0,0.0
41,355,0.0,3321.844,1.7678721106662054,4.199578698026071,3.3556596279465505,1.0,0.0
42,354,0.0,3311.828,1.762315070409309,4.199546957512695,3.3614901977112828,1.0,0.0
43,179,0.0,3327.391,1.7676172924938447,4.194091469340824,3.3469681219757663,1.0,0.0
44,354,0.0,3312.078,1.762668359743147,4.200715235801255,3.37121004922177,1.0,0.0
45,352,0.0,3293.172,1.7517304870664143,4.1990980807180325,3.379951819113273,1.0,0.0
46,350,0.0,3275.328,1.7418496047960008,4.199398534411534,3.391867015789506,1.0,0.0
47,349,0.0,3265.016,1.7360913511847138,4.199122915612965,3.389321801243052,1.0,0.0
48,356,0.0,3328.937,1.7936240148573608,4.190409478081396,3.2399604434797045,1.0,0.0
49,356,0.0,3329.266,1.7831890223273277,4.199933846791869,3.3111276397349085,1.0,0.0
50,353,0.0,3301.579,1.7673642076278957,4.199365021329158,3.332862126292085,1.0,0.0
51,351,0.0,3283.563,1.7570177850353066,4.19902365945384,3.333761215364808,1.0,0.0
52,350,0.0,3275.125,1.7468706179837907,4.199432142144215,3.3615057492929536,1.0,0.0
53,349,0.0,3265.656,1.7417172507457144,4.199640922827531,3.352855281098351,1.0,0.0
54,349,0.0,3266.093,1.7364225056478186,4.199305653118061,3.365152081676328,1.0,0.0
55,348,0.0,3257.594,1.7263217239235826,4.198949734540481,3.385772859851924,1.0,0.0
56,347,0.0,3248.593,1.7158065389330133,4.19834220599025,3.4084431860543454,1.0,0.0
57,346,0.0,3238.766,1.710533351135192,4.198995776266302,3.409832097176257,1.0,0.0
58,346,0.0,3240.14,1.706014499648521,4.19916986492694,3.417268005174641,1.0,0.0
59,345,0.0,3230.109,1.7003110272642588,4.199246833083063,3.421833588845415,1.0,0.0
60,345,0.0,3229.7810000000027,1.6945798601797897,4.19925518864016,3.4271424058700943,1.0,0.0
61,343,0.0,3212.469,1.6849029086609286,4.199610827671791,3.438178718052601,1.0,0.0
62,343,0.0,3213.219,1.6744741591159715,4.1994453812630566,3.465640472585762,1.0,0.0
63,342,0.0,3203.578,1.6745692479879102,4.198991968341307,3.4449859354526846,1.0,0.0
64,341,0.0,3195.125,1.663716375981405,4.197785116892181,3.467467091298206,1.0,0.0
65,341,0.0,3195.312999999994,1.659013868748246,4.201331130571617,3.4717300013545747,1.0,0.0
66,340,0.0,3186.297,1.6538540573335014,4.199339974904826,3.466070335739485,1.0,0.0
67,339,0.0,3176.438,1.642653782130131,4.198916244859707,3.485289154748911,1.0,0.0
68,338,0.0,3167.593,1.6378578430223698,4.198537488587242,3.480022171118444,1.0,0.0
69,338,0.0,3167.719,1.6327350407099108,4.198943932259475,3.4875727291181726,1.0,0.0
70,337,0.0,3159.077999999994,1.6277528915533617,4.199579806494986,3.4845831403089607,1.0,0.0
71,336,0.0,3148.829,1.622125485521159,4.198782234828033,3.4840044121584226,1.0,0.0
72,336,0.0,3149.094,1.6113256603765849,4.19910517813207,3.508463137681321,1.0,0.0
73,335,0.0,3140.547,1.6065631397488385,4.198510853141954,3.5037872856177814,1.0,0.0
74,334,0.0,3131.625,1.6015142233917594,4.198732430468704,3.500128756881619,1.0,0.0
75,333,0.0,3121.907,1.590369231400328,4.198799630396931,3.517670766414221,1.0,0.0
76,333,0.0,3122.125,1.5857889968242211,4.198753541225669,3.5174486086806094,1.0,0.0
77,333,0.0,3121.672,1.5849430707374117,4.200309982421394,3.516013267212138,1.0,0.0
78,333,0.0,3120.86,1.5955263892495937,4.201124089732316,3.496983701999225,1.0,0.0
79,331,0.0,3103.828,1.5747301747801037,4.198150316653697,3.5202208637731656,1.0,0.0
80,330,0.0,3095.094,1.5649019950937946,4.198524048997099,3.5292256839082072,1.0,0.0
81,330,0.0,3095.781,1.5597659473370362,4.198840869468569,3.5307259447794728,1.0,0.0
82,330,0.0,3094.328,1.5594815668184234,4.198119631667182,3.521290948363061,1.0,0.0
83,329,0.0,3086.531,1.55468935359061,4.198320288264955,3.5235359008769405,1.0,0.0
