battery_id,raw_cycle_id,discharge_cycle_id,capacity_ah,num_samples,duration_s,start_voltage_v,end_voltage_v,start_temperature_c,end_temperature_c
B0006,2,1,2.035337591005598,197,3690.234,4.179799607333447,2.4757677568281857,24.277567510331888,39.16298653238707
B0006,4,2,2.0251402460314116,196,3672.344,4.177288238505559,2.35152551190002,24.648610618159957,39.2462026826329
B0006,6,3,2.013326371345464,195,3651.641,4.177795470598289,2.4404797151065436,24.704057719023776,38.999202460252846
B0006,8,4,2.0132846655407413,194,3631.563,4.178370492084649,2.4791558539003917,24.650503100456078,38.843627771866515
B0006,10,5,2.000528337624771,194,3629.172,4.178015652407259,2.280187848173442,24.634206199911688,38.97798888258284
B0006,12,6,2.0138990759931645,195,3652.281,4.193216523251186,2.4392842568466446,24.343399604359956,38.83989920742278
B0006,14,7,2.013101105626967,195,3650.828,4.193679289189224,2.2812068449406446,24.430946389444678,39.04610837498471
B0006,16,8,1.9687898262728398,191,3572.453,4.176826628115461,2.366410527029613,24.650435471431692,38.87507521022778
B0006,18,9,1.9681661764334244,190,3550.594,4.1761685240208415,2.436020049578708,24.564976908542672,38.7260539826455
B0006,20,10,1.9572307917560536,190,3551.25,4.176897989902666,2.1864377487643725,24.525434246680597,38.98629728904917
B0006,22,11,1.9455991514129352,189,3530.25,4.177579509962451,2.3406023605912454,24.412047639109403,38.65978861919643
B0006,25,12,1.9347505044841131,187,3491.016,4.177870678295105,2.4263021374140443,24.666067568688486,38.84979195732924
B0006,27,13,1.9232799539368028,186,3470.281,4.176124493186459,2.4753697700007034,24.83330258423449,38.75128344015104
B0006,29,14,1.911889930948487,186,3470.0,4.177784195345462,2.342364523655007,24.630650095086025,38.76853764058789
B0006,31,15,1.9010667141979305,185,3450.297,4.1770625256786165,2.188400081882664,24.46191563928022,38.84686112344348
B0006,33,16,1.8891989948061458,184,3429.407,4.175489274573356,2.1206980945954057,24.268721113141215,38.865889781652804
B0006,35,17,1.878278372248849,183,3409.484,4.177366324712495,2.369981457799298,24.35471815166853,38.647578733807656
B0006,37,18,1.8675697161520206,182,3390.422,4.176354539745044,2.247991649924625,24.38425903160567,38.79218188173866
B0006,39,19,1.8675892574453767,182,3390.281,4.177126477703333,2.8844463698113665,24.4658726504316,38.77022223929529
B0006,42,20,1.979626548250818,192,3591.734,4.174584178175673,2.2033558468593775,24.511611712923585,37.54320599748628
B0006,46,21,1.9575499080884022,190,3552.297,4.175224020262452,2.35887751155593,24.910587532936997,37.90362577530197
B0006,50,22,1.9458150170787551,189,3531.578,4.177217300859919,2.218672914041916,24.570068054017018,37.6701605139887
B0006,54,23,1.9242461121680094,187,3492.907,4.176514514202052,2.339723057947995,24.22557390540734,37.34166959188387
B0006,58,24,1.9459811331421641,188,3511.594,4.190007215931237,2.3997508208942735,24.03914598854637,37.28979017254232
B0006,62,25,1.901407930553079,184,3431.9370000000054,4.176973413125379,2.491410879472442,24.015743593007034,37.16794481484507
B0006,66,26,1.878674213680085,184,3431.125,4.1734521552365464,2.7669269890921613,23.903813428150546,37.51577848501052
B0006,70,27,1.8683061328264219,183,3412.406,4.176098578619343,2.8356128467177313,23.81688709830912,37.24165964092258
B0006,74,28,1.8560244070082998,183,3410.688,4.17626102066065,2.9283946351511094,23.762584263292904,37.10097467364956
B0006,78,29,1.8451997961855777,183,3410.718,4.172854589872979,3.077114957598757,23.77792764216909,36.536350836681876
B0006,82,30,1.857228890885317,182,3392.719,4.1881878017349035,2.819560586845831,23.76566779571611,37.49607769896255
B0006,86,31,1.9247760889090635,371,3470.672,4.189801024289883,2.4343006861812118,23.745511474786845,37.250073961181094
B0006,90,32,1.8822317526092551,365,3414.109,4.186947861426474,2.9187757391682454,24.195720581098644,37.276699358575215
B0006,94,33,1.855276687885587,363,3395.219,4.186434538254801,2.973956908852585,23.97347780130266,37.053468915649404
B0006,98,34,1.8392508917181876,362,3386.0,4.1876767977261,3.0334333724088656,23.520157783193987,36.49019770341733
B0006,102,35,1.8185396073994429,360,3368.187,4.183948312348072,3.061692514035773,23.52943289153009,36.17351619989374
B0006,106,36,1.8134770059567056,360,3368.266,4.186703871962386,3.0864214480405137,23.947667716448013,36.691721740616366
B0006,110,37,1.7971018450305436,359,3358.719,4.186404820230849,3.137787321824542,23.724670891624807,36.305054515447836
B0006,114,38,1.7810046294120476,357,3339.5,4.184538174451997,3.1501156392374963,23.509674105704782,36.06439554288408
B0006,118,39,1.7710130422682329,356,3331.265,4.186047633014145,3.1738920422499453,23.259588001525678,36.01731400053337
B0006,122,40,1.7604712448170943,355,3321.188,4.186011762299764,3.1972071497430035,23.41190207365984,35.907754428951925
B0006,126,41,1.7502913788006587,355,3321.844,4.185653001522096,3.227568458837217,23.993875243611917,36.358079362481035
B0006,130,42,1.7394925037732578,354,3311.828,4.1849954235358595,3.2308580821504327,24.22543912747929,36.50421625915163
B0006,134,43,1.7546766553637203,179,3327.391,4.17548998383201,3.199633267433362,23.931600807664452,36.99126483107543
B0006,136,44,1.7659390941842175,354,3312.078,4.191559316475808,3.1898103242112006,23.801856485719824,36.81410785577819
